"author"	"published_at"	"updated_at"	"like_count"	"text"
"@awaniborgude"	"2026-03-08T06:38:09Z"	"2026-03-08T06:39:31Z"	"5"	"No one should ever have to fight for what’s theirs’ or for their identity but if you really end up having to, do it like Benito Antonio Martínez Ocasio. The only thing more powerful than hate is love. Truly. Love from India❤️"
"@brendaquispe9274"	"2026-03-08T06:32:35Z"	"2026-03-08T06:32:35Z"	"1"	"❤❤❤❤"
"@423omega"	"2026-03-08T06:05:19Z"	"2026-03-08T06:05:19Z"	"2"	"Bad Bunny did super awesome during the Super Bowl in February!"
"@brendaurias7950"	"2026-03-08T05:43:09Z"	"2026-03-08T05:43:09Z"	"1"	"Omg I still can not believe bad bunny was there😮😮😮mind blowing"
"@stephs10593"	"2026-03-08T05:33:50Z"	"2026-03-08T05:33:50Z"	"1"	"Back for the dopamine boost. Still hits the same as it did live ❤️💃🏻"
"@gercekler3545"	"2026-03-08T05:33:20Z"	"2026-03-08T05:33:20Z"	"0"	"Not good"
"@wowfrometa302"	"2026-03-08T05:32:42Z"	"2026-03-08T05:32:42Z"	"3"	"Great performance we love you great job ❤️👍"
"@hponce100"	"2026-03-08T05:30:17Z"	"2026-03-08T05:30:17Z"	"4"	"121,000,000 views 🎉🇵🇷💪🏽"
"@TatianaMatus-r2y"	"2026-03-08T05:27:24Z"	"2026-03-08T05:27:24Z"	"3"	"Laidy gaga cantando salsa antes del gtea6"
"@GiovanniReyes-o6g"	"2026-03-08T05:18:42Z"	"2026-03-08T05:18:42Z"	"1"	"🎂🥳🤯🎉🎊👀🫶🏻🙋🏻‍♂️🤴🏻"
"@nolas33"	"2026-03-08T05:08:56Z"	"2026-03-08T05:08:56Z"	"2"	"❤❤❤❤"
"@nikkifulache6834"	"2026-03-08T04:57:06Z"	"2026-03-08T04:57:06Z"	"5"	"okay im back"
